Position,Token,Absolute Häufigkeit 1835-1870,Relative Häufigkeit 1835-1870,Absolute Häufigkeit 1800-1834,Relative Häufigkeit 1800-1837,+/-,Log ratio,Log Likelihood
440,Slm,170.0,2.8,4.0,0.3,+,3.23,43.4
441,Verant¬,170.0,2.8,4.0,0.3,+,3.23,43.4
442,lineal,594.0,9.79,14.0,1.04,+,3.23,151.56
443,untergebracht,381.0,6.28,9.0,0.67,+,3.22,97.13
444,Unterrichtszeit,254.0,4.18,6.0,0.45,+,3.22,64.75
445,behufs,1305.0,21.5,31.0,2.31,+,3.22,331.97
446,Hurter,378.0,6.23,9.0,0.67,+,3.21,96.07
447,Kollegen,1092.0,17.99,26.0,1.94,+,3.21,277.54
448,prak-,210.0,3.46,5.0,0.37,+,3.21,53.37
449,Staatsrathes,210.0,3.46,5.0,0.37,+,3.21,53.37
450,thema,1008.0,16.61,24.0,1.79,+,3.21,256.19
451,Hinweil,1174.0,19.34,28.0,2.09,+,3.21,298.19
452,Schülgemeinde,712.0,11.73,17.0,1.27,+,3.21,180.76
453,Schülerin,209.0,3.44,5.0,0.37,+,3.21,53.02
454,Stickstoff,209.0,3.44,5.0,0.37,+,3.21,53.02
455,Ungenügend,334.0,5.5,8.0,0.6,+,3.2,84.69
456,lokalen,292.0,4.81,7.0,0.52,+,3.2,74.02
457,belgische,250.0,4.12,6.0,0.45,+,3.2,63.34
458,Sa«,290.0,4.78,7.0,0.52,+,3.19,73.32
459,Großrath,497.0,8.19,12.0,0.9,+,3.19,125.63
460,Frkn,3725.0,61.37,90.0,6.72,+,3.19,941.41
461,Männchen,413.0,6.8,10.0,0.75,+,3.19,104.29
462,AlterSjahr,907.0,14.94,22.0,1.64,+,3.19,228.87
463,Approbation,371.0,6.11,9.0,0.67,+,3.19,93.61
464,VolkSschulwesens,371.0,6.11,9.0,0.67,+,3.19,93.61
465,bundes¬,206.0,3.39,5.0,0.37,+,3.18,51.97
466,verzichtet,206.0,3.39,5.0,0.37,+,3.18,51.97
467,Jedenfalls,2749.0,45.29,67.0,5.0,+,3.18,692.38
468,Krankenpflege,287.0,4.73,7.0,0.52,+,3.18,72.26
469,Stämpfli,287.0,4.73,7.0,0.52,+,3.18,72.26
470,Krallen,286.0,4.71,7.0,0.52,+,3.17,71.91
471,Landeskirche,286.0,4.71,7.0,0.52,+,3.17,71.91
472,jum,973.0,16.03,24.0,1.79,+,3.16,243.91
473,kursen,283.0,4.66,7.0,0.52,+,3.16,70.86
474,Schuljahre,849.0,13.99,21.0,1.57,+,3.16,212.59
475,Schuppen,768.0,12.65,19.0,1.42,+,3.16,192.29
476,Schulkreis,202.0,3.33,5.0,0.37,+,3.16,50.57
477,durch'S,242.0,3.99,6.0,0.45,+,3.15,60.54
478,sera,402.0,6.62,10.0,0.75,+,3.15,100.43
479,Preußen,3489.0,57.48,87.0,6.49,+,3.15,870.84
480,Kathedrale,481.0,7.92,12.0,0.9,+,3.15,120.03
481,Ifl,881.0,14.51,22.0,1.64,+,3.14,219.76
482,Ber,25504.0,420.17,637.0,47.55,+,3.14,6362.84
483,Gebäulichkeiten,279.0,4.6,7.0,0.52,+,3.14,69.46
484,o/o,199.0,3.28,5.0,0.37,+,3.13,49.52
485,Sob,199.0,3.28,5.0,0.37,+,3.13,49.52
486,vorräthig,675.0,11.12,17.0,1.27,+,3.13,167.8
487,Progymnasium,317.0,5.22,8.0,0.6,+,3.13,78.74
488,Fabrikarbeiter,631.0,10.4,16.0,1.19,+,3.12,156.43
489,Mr.,197.0,3.25,5.0,0.37,+,3.12,48.82
490,Wortlaut,236.0,3.89,6.0,0.45,+,3.12,58.44
491,Realschulen,786.0,12.95,20.0,1.49,+,3.12,194.58
492,moderne,471.0,7.76,12.0,0.9,+,3.11,116.54
493,Korrespondenten,353.0,5.82,9.0,0.67,+,3.11,87.32
494,Prädikat,549.0,9.04,14.0,1.04,+,3.11,135.79
495,vorzuführen,196.0,3.23,5.0,0.37,+,3.11,48.47
496,lehrerstelle,274.0,4.51,7.0,0.52,+,3.11,67.72
497,korrespondent,313.0,5.16,8.0,0.6,+,3.11,77.34
498,gearbeitete,195.0,3.21,5.0,0.37,+,3.11,48.12
499,Kand,273.0,4.5,7.0,0.52,+,3.11,67.37
500,Telegraphen,195.0,3.21,5.0,0.37,+,3.11,48.12
501,Unbestritten,234.0,3.86,6.0,0.45,+,3.11,57.75
502,wnrden,273.0,4.5,7.0,0.52,+,3.11,67.37
503,Soda,272.0,4.48,7.0,0.52,+,3.1,67.02
504,Kahl,1165.0,19.19,30.0,2.24,+,3.1,286.99
505,Hauptversammlung,543.0,8.95,14.0,1.04,+,3.1,133.7
506,Jahresbericht,698.0,11.5,18.0,1.34,+,3.1,171.85
507,Lüttich,349.0,5.75,9.0,0.67,+,3.1,85.92
508,Kapseln,271.0,4.46,7.0,0.52,+,3.1,66.67
509,Ztr.,271.0,4.46,7.0,0.52,+,3.1,66.67
510,Hülfslehrer,348.0,5.73,9.0,0.67,+,3.09,85.58
511,Länghans,193.0,3.18,5.0,0.37,+,3.09,47.43
512,gebüschen,347.0,5.72,9.0,0.67,+,3.09,85.23
513,Gefüge,308.0,5.07,8.0,0.6,+,3.09,75.6
514,bet,10455.0,172.24,272.0,20.3,+,3.08,2564.84
515,häutig,192.0,3.16,5.0,0.37,+,3.08,47.08
516,Kellner,192.0,3.16,5.0,0.37,+,3.08,47.08
517,Belgien,2341.0,38.57,61.0,4.55,+,3.08,573.88
518,Konsul,422.0,6.95,11.0,0.82,+,3.08,103.43
519,Genußsucht,230.0,3.79,6.0,0.45,+,3.08,56.35
520,gewefen,459.0,7.56,12.0,0.9,+,3.08,112.36
521,Unterrichtsstunden,650.0,10.71,17.0,1.27,+,3.08,159.09
522,Direktionen,191.0,3.15,5.0,0.37,+,3.08,46.73
523,Sparkasse,191.0,3.15,5.0,0.37,+,3.08,46.73
524,Arbeitszeit,760.0,12.52,20.0,1.49,+,3.07,185.54
525,Bes,6829.0,112.51,180.0,13.44,+,3.07,1666.1
526,Fraulein,530.0,8.73,14.0,1.04,+,3.06,129.18
527,Belgiens,227.0,3.74,6.0,0.45,+,3.06,55.31
528,Exerzitien,189.0,3.11,5.0,0.37,+,3.06,46.04
529,Thurgauischen,301.0,4.96,8.0,0.6,+,3.05,73.17
530,gemüthliche,225.0,3.71,6.0,0.45,+,3.05,54.62
531,Endungen,262.0,4.32,7.0,0.52,+,3.05,63.55
532,passiven,262.0,4.32,7.0,0.52,+,3.05,63.55
533,1836.,447.0,7.36,12.0,0.9,+,3.04,108.2
534,Vörstand,1746.0,28.76,47.0,3.51,+,3.04,422.16
535,Bischöflicher,260.0,4.28,7.0,0.52,+,3.04,62.86
536,Worb,260.0,4.28,7.0,0.52,+,3.04,62.86
537,Nationalitat,297.0,4.89,8.0,0.6,+,3.03,71.79
538,©,1261.0,20.77,34.0,2.54,+,3.03,304.68
539,gemüthlichen,222.0,3.66,6.0,0.45,+,3.03,53.58
540,korrespondenzen,333.0,5.49,9.0,0.67,+,3.03,80.37
541,Büdget,1109.0,18.27,30.0,2.24,+,3.03,267.57
542,Cents,258.0,4.25,7.0,0.52,+,3.02,62.17
543,Schillers,221.0,3.64,6.0,0.45,+,3.02,53.24
545,sprachlichen,368.0,6.06,10.0,0.75,+,3.02,88.61
546,Klappen,331.0,5.45,9.0,0.67,+,3.02,79.68
547,zusammengedruckt,441.0,7.27,12.0,0.9,+,3.02,106.13
548,Württemberg,514.0,8.47,14.0,1.04,+,3.02,123.65
549,Exercitien,330.0,5.44,9.0,0.67,+,3.02,79.34
550,Benz,183.0,3.01,5.0,0.37,+,3.01,43.96
551,Oberleitung,183.0,3.01,5.0,0.37,+,3.01,43.96
552,romanischen,549.0,9.04,15.0,1.12,+,3.01,131.89
553,Kirchenzeitung,2926.0,48.21,80.0,5.97,+,3.01,702.72
554,Regensberg,987.0,16.26,27.0,2.02,+,3.01,236.98
555,seminare,329.0,5.42,9.0,0.67,+,3.01,78.99
556,Färbung,402.0,6.62,11.0,0.82,+,3.01,96.51
557,Gesuche,804.0,13.25,22.0,1.64,+,3.01,193.02
558,Frk,2008.0,33.08,55.0,4.11,+,3.01,481.87
559,Klavier,219.0,3.61,6.0,0.45,+,3.01,52.55
560,Aargauische,620.0,10.21,17.0,1.27,+,3.01,148.71
561,ausstellung,3026.0,49.85,83.0,6.2,+,3.01,725.72
562,Kons,255.0,4.2,7.0,0.52,+,3.01,61.13
563,begrüßt,582.0,9.59,16.0,1.19,+,3.01,139.44
564,Stat,1089.0,17.94,30.0,2.24,+,3.0,260.67
565,Industrieschule,978.0,16.11,27.0,2.02,+,3.0,233.88
566,beine,1230.0,20.26,34.0,2.54,+,3.0,293.98
567,"3,000",253.0,4.17,7.0,0.52,+,3.0,60.44
568,hinzuweisen,253.0,4.17,7.0,0.52,+,3.0,60.44
569,Schulgeld,757.0,12.47,21.0,1.57,+,2.99,180.64
570,Jngenbohl,216.0,3.56,6.0,0.45,+,2.99,51.51
571,Gesangunterricht,288.0,4.74,8.0,0.6,+,2.99,68.69
572,feierte,611.0,10.07,17.0,1.27,+,2.99,145.61
573,Erlaß,681.0,11.22,19.0,1.42,+,2.98,162.1
574,Elementarklasse,215.0,3.54,6.0,0.45,+,2.98,51.17
575,Diesterweg,537.0,8.85,15.0,1.12,+,2.98,127.75
576,Eramen,286.0,4.71,8.0,0.6,+,2.98,68.0
577,Hauptlehrer,250.0,4.12,7.0,0.52,+,2.98,59.41
578,gummi,357.0,5.88,10.0,0.75,+,2.98,84.83
579,Porzellan,321.0,5.29,9.0,0.67,+,2.98,76.24
580,jwei,320.0,5.27,9.0,0.67,+,2.97,75.9
581,muf,213.0,3.51,6.0,0.45,+,2.97,50.48
582,Bundesverfassung,670.0,11.04,19.0,1.42,+,2.96,158.32
583,BeigegeBen,423.0,6.97,12.0,0.9,+,2.96,99.94
584,Primarschulen,1655.0,27.27,47.0,3.51,+,2.96,390.82
585,Landestheilen,211.0,3.48,6.0,0.45,+,2.96,49.8
586,Thierwelt,211.0,3.48,6.0,0.45,+,2.96,49.8
587,Sprachunterrichts,246.0,4.05,7.0,0.52,+,2.96,58.04
588,öom,562.0,9.26,16.0,1.19,+,2.95,132.56
589,turn-,281.0,4.63,8.0,0.6,+,2.95,66.28
590,Abwehr,245.0,4.04,7.0,0.52,+,2.95,57.7
591,Belgischen,490.0,8.07,14.0,1.04,+,2.95,115.39
592,Boßhard,210.0,3.46,6.0,0.45,+,2.95,49.45
593,Großartige,525.0,8.65,15.0,1.12,+,2.95,123.64
594,Schulpflege,454.0,7.48,13.0,0.97,+,2.95,106.81
595,Britische,384.0,6.33,11.0,0.82,+,2.95,90.32
596,Depeschen,314.0,5.17,9.0,0.67,+,2.94,73.84
597,Guardian,279.0,4.6,8.0,0.6,+,2.94,65.6
598,Vorgângen,209.0,3.44,6.0,0.45,+,2.94,49.11
599,Puschlav,243.0,4.0,7.0,0.52,+,2.94,57.01
600,Armen¬,208.0,3.43,6.0,0.45,+,2.94,48.77
601,Bl,3258.0,53.67,94.0,7.02,+,2.94,763.85
602,Hauptaufgabe,277.0,4.56,8.0,0.6,+,2.93,64.91
603,uub,242.0,3.99,7.0,0.52,+,2.93,56.67
604,Schulsynode,1520.0,25.04,44.0,3.28,+,2.93,355.83
605,rechtwinkligen,207.0,3.41,6.0,0.45,+,2.93,48.43
606,Mittelklasse,310.0,5.11,9.0,0.67,+,2.93,72.47
607,Buchhandlung,3201.0,52.74,93.0,6.94,+,2.93,748.09
609,schaute,275.0,4.53,8.0,0.6,+,2.92,64.23
610,Objekt,618.0,10.18,18.0,1.34,+,2.92,144.26
611,Hauptsatze,411.0,6.77,12.0,0.9,+,2.92,95.83
612,Comp,1438.0,23.69,42.0,3.13,+,2.92,335.24
613,Weibchen,616.0,10.15,18.0,1.34,+,2.92,143.58
614,lehrmittel,3348.0,55.16,98.0,7.31,+,2.91,779.74
615,Lyceum,239.0,3.94,7.0,0.52,+,2.91,55.65
616,Vtl,307.0,5.06,9.0,0.67,+,2.91,71.45
617,Wieber,648.0,10.68,19.0,1.42,+,2.91,150.79
618,300.,204.0,3.36,6.0,0.45,+,2.91,47.4
619,Aehre,272.0,4.48,8.0,0.6,+,2.91,63.21
620,deff,204.0,3.36,6.0,0.45,+,2.91,47.4
621,Paläste,306.0,5.04,9.0,0.67,+,2.91,71.11
622,Wattenwyl,849.0,13.99,25.0,1.87,+,2.91,197.18
623,Ausstellungen,372.0,6.13,11.0,0.82,+,2.9,86.23
624,Fak,507.0,8.35,15.0,1.12,+,2.9,117.49
625,Schnle,236.0,3.89,7.0,0.52,+,2.9,54.62
626,Sauerstoff,842.0,13.87,25.0,1.87,+,2.89,194.79
627,Kolonien,471.0,7.76,14.0,1.04,+,2.89,108.91
628,Lehrerinnen,2080.0,34.27,62.0,4.63,+,2.89,480.31
629,ebenda,335.0,5.52,10.0,0.75,+,2.89,77.3
630,Vorgeführt,301.0,4.96,9.0,0.67,+,2.88,69.4
631,gedeckten,434.0,7.15,13.0,0.97,+,2.88,99.99
632,Radius,600.0,9.88,18.0,1.34,+,2.88,138.13
633,Semi-,200.0,3.29,6.0,0.45,+,2.88,46.04
634,ermittelt,233.0,3.84,7.0,0.52,+,2.88,53.6
635,Univers,466.0,7.68,14.0,1.04,+,2.88,107.21
636,tuch-,266.0,4.38,8.0,0.6,+,2.88,61.16
637,entsprechender,232.0,3.82,7.0,0.52,+,2.87,53.26
638,bernischen,1490.0,24.55,45.0,3.36,+,2.87,341.93
639,finanzielle,298.0,4.91,9.0,0.67,+,2.87,68.38
640,Volkszählung,364.0,6.0,11.0,0.82,+,2.87,83.51
641,Kätzchen,198.0,3.26,6.0,0.45,+,2.86,45.36
642,Türkei,660.0,10.87,20.0,1.49,+,2.86,151.21
643,Kelche,363.0,5.98,11.0,0.82,+,2.86,83.17
644,Kreuzlingen,363.0,5.98,11.0,0.82,+,2.86,83.17
645,paritätischen,429.0,7.07,13.0,0.97,+,2.86,98.29
646,Verlag,2570.0,42.34,78.0,5.82,+,2.86,588.38
647,Hl.,12384.0,204.02,376.0,28.07,+,2.86,2834.98
648,elegant,230.0,3.79,7.0,0.52,+,2.86,52.59
649,kat,230.0,3.79,7.0,0.52,+,2.86,52.59
650,OrtSgemeinde,394.0,6.49,12.0,0.9,+,2.86,90.05
651,Okt,621.0,10.23,19.0,1.42,+,2.85,141.62
652,allmalige,196.0,3.23,6.0,0.45,+,2.85,44.69
653,betr,325.0,5.35,10.0,0.75,+,2.84,73.91
654,stacheln,357.0,5.88,11.0,0.82,+,2.84,81.13
655,protestantischer,486.0,8.01,15.0,1.12,+,2.84,110.36
656,Kiemen,259.0,4.27,8.0,0.6,+,2.84,58.79
657,Vorgänge,744.0,12.26,23.0,1.72,+,2.84,168.82
658,Volks¬,420.0,6.92,13.0,0.97,+,2.83,95.24
659,rothlich,452.0,7.45,14.0,1.04,+,2.83,102.46
660,schulrath,742.0,12.22,23.0,1.72,+,2.83,168.14
661,objekte,354.0,5.83,11.0,0.82,+,2.83,80.12
662,Buchhandlungen,1251.0,20.61,39.0,2.91,+,2.82,282.69
663,kaserne,352.0,5.8,11.0,0.82,+,2.82,79.45
664,freiere,224.0,3.69,7.0,0.52,+,2.82,50.56
665,Weibl,256.0,4.22,8.0,0.6,+,2.82,57.78
666,Greith,223.0,3.67,7.0,0.52,+,2.81,50.22
667,Real-,541.0,8.91,17.0,1.27,+,2.81,121.77
668,Ünterrichtsplan,509.0,8.39,16.0,1.19,+,2.81,114.55
669,Entrüstung,318.0,5.24,10.0,0.75,+,2.81,71.55
670,Reaktion,286.0,4.71,9.0,0.67,+,2.81,64.33
671,feiertage,1111.0,18.3,35.0,2.61,+,2.81,249.75
672,Kehle,411.0,6.77,13.0,0.97,+,2.8,92.21
673,stipendien,916.0,15.09,29.0,2.16,+,2.8,205.41
674,palast,441.0,7.27,14.0,1.04,+,2.8,98.75
675,apostöl,283.0,4.66,9.0,0.67,+,2.8,63.32
676,Stachel,283.0,4.66,9.0,0.67,+,2.8,63.32
677,Satzlehre,220.0,3.62,7.0,0.52,+,2.79,49.21
678,Silben,314.0,5.17,10.0,0.75,+,2.79,70.2
679,nnb,468.0,7.71,15.0,1.12,+,2.78,104.3
680,Gediegene,342.0,5.63,11.0,0.82,+,2.78,76.08
681,fortschritt,2172.0,35.78,70.0,5.22,+,2.78,482.7
682,Köniz,341.0,5.62,11.0,0.82,+,2.77,75.75
683,Stuf,279.0,4.6,9.0,0.67,+,2.77,61.97
684,modernen,805.0,13.26,26.0,1.94,+,2.77,178.7
685,RUSSLAND,340.0,5.6,11.0,0.82,+,2.77,75.41
686,Gymnasial,216.0,3.56,7.0,0.52,+,2.77,47.87
687,giftig,370.0,6.1,12.0,0.9,+,2.77,81.96
688,Persönlichkeit,800.0,13.18,26.0,1.94,+,2.76,177.03
689,Ausschreibungen,215.0,3.54,7.0,0.52,+,2.76,47.53
690,Missionären,215.0,3.54,7.0,0.52,+,2.76,47.53
691,Schulstunden,307.0,5.06,10.0,0.75,+,2.76,67.85
692,Großmunster,276.0,4.55,9.0,0.67,+,2.76,60.97
693,befähigt,734.0,12.09,24.0,1.79,+,2.75,161.91
694,atten,214.0,3.53,7.0,0.52,+,2.75,47.2
695,Genossenschaften,214.0,3.53,7.0,0.52,+,2.75,47.2
696,Firma,275.0,4.53,9.0,0.67,+,2.75,60.63
697,1851.,366.0,6.03,12.0,0.9,+,2.75,80.62
698,abstehend,274.0,4.51,9.0,0.67,+,2.75,60.3
699,Konzession,274.0,4.51,9.0,0.67,+,2.75,60.3
700,minimum,1370.0,22.57,45.0,3.36,+,2.75,301.5
701,Ouis,365.0,6.01,12.0,0.9,+,2.75,80.29
702,gesuch,1124.0,18.52,37.0,2.76,+,2.75,247.08
703,semesters,243.0,4.0,8.0,0.6,+,2.75,53.41
704,schulinspektor,698.0,11.5,23.0,1.72,+,2.74,153.36
705,Kadetten,212.0,3.49,7.0,0.52,+,2.74,46.53
706,MaßeS,212.0,3.49,7.0,0.52,+,2.74,46.53
707,leuchter,272.0,4.48,9.0,0.67,+,2.74,59.63
708,direktion,4559.0,75.11,151.0,11.27,+,2.74,999.01
709,Verfassungsrath,241.0,3.97,8.0,0.6,+,2.73,52.75
710,Aargan,512.0,8.44,17.0,1.27,+,2.73,112.04
711,Lehr¬,419.0,6.9,14.0,1.04,+,2.72,91.39
712,Bed,209.0,3.44,7.0,0.52,+,2.72,45.53
713,schuljahren,209.0,3.44,7.0,0.52,+,2.72,45.53
714,hingewiesen,537.0,8.85,18.0,1.34,+,2.72,116.93
715,KurS,1550.0,25.54,52.0,3.88,+,2.72,337.36
716,Gebetbuch,238.0,3.92,8.0,0.6,+,2.72,51.75
717,gefieder,238.0,3.92,8.0,0.6,+,2.72,51.75
718,jüngster,503.0,8.29,17.0,1.27,+,2.71,109.05
719,zember,266.0,4.38,9.0,0.67,+,2.71,57.63
720,Dreiecke,1151.0,18.96,39.0,2.91,+,2.7,249.19
721,Kelch,944.0,15.55,32.0,2.39,+,2.7,204.33
722,Pensionat,324.0,5.34,11.0,0.82,+,2.7,70.07
723,bernische,646.0,10.64,22.0,1.64,+,2.7,139.48
724,nr.,6145.0,101.24,210.0,15.67,+,2.69,1324.38
725,Gonzenbach,263.0,4.33,9.0,0.67,+,2.69,56.64
726,Materials,379.0,6.24,13.0,0.97,+,2.69,81.52
727,gemüthlich,204.0,3.36,7.0,0.52,+,2.69,43.87
728,Preußens,233.0,3.84,8.0,0.6,+,2.68,50.09
729,Sächseln,291.0,4.79,10.0,0.75,+,2.68,62.53
730,auf's,1425.0,23.48,49.0,3.66,+,2.68,306.08
731,Vizepräsident,203.0,3.34,7.0,0.52,+,2.68,43.54
732,zürcherische,493.0,8.12,17.0,1.27,+,2.68,105.73
733,Bethätigung,289.0,4.76,10.0,0.75,+,2.67,61.86
734,realschule,1617.0,26.64,56.0,4.18,+,2.67,345.98
735,feierlicher,375.0,6.18,13.0,0.97,+,2.67,80.19
736,Legate,288.0,4.74,10.0,0.75,+,2.67,61.53
737,barmherzigen,719.0,11.85,25.0,1.87,+,2.67,153.5
738,Confession,575.0,9.47,20.0,1.49,+,2.67,122.73
739,Redaktion,2660.0,43.82,93.0,6.94,+,2.66,566.19
740,direkter,228.0,3.76,8.0,0.6,+,2.65,48.43
741,Inmitten,228.0,3.76,8.0,0.6,+,2.65,48.43
742,definitiv,1111.0,18.3,39.0,2.91,+,2.65,235.95
743,Anmeldung,427.0,7.03,15.0,1.12,+,2.65,90.65
744,Taubstummenanstalt,313.0,5.16,11.0,0.82,+,2.65,66.43
745,festgestellt,711.0,11.71,25.0,1.87,+,2.65,150.86
746,Comité,568.0,9.36,20.0,1.49,+,2.65,120.42
747,Kub,284.0,4.68,10.0,0.75,+,2.65,60.21
748,gür,1019.0,16.79,36.0,2.69,+,2.64,215.64
749,eidgen.,283.0,4.66,10.0,0.75,+,2.64,59.88
750,Hindelbank,339.0,5.58,12.0,0.9,+,2.64,71.66
751,armenpflege,1158.0,19.08,41.0,3.06,+,2.64,244.76
752,Arbeitsschulen,593.0,9.77,21.0,1.57,+,2.64,125.33
753,promotion,310.0,5.11,11.0,0.82,+,2.64,65.44
754,Tüchtigsten,281.0,4.63,10.0,0.75,+,2.63,59.22
755,Erheblich,393.0,6.47,14.0,1.04,+,2.63,82.78
756,deutsch-,449.0,7.4,16.0,1.19,+,2.63,94.56
757,Familienleben,308.0,5.07,11.0,0.82,+,2.63,64.78
758,Idem,308.0,5.07,11.0,0.82,+,2.63,64.78
759,Pfg,896.0,14.76,32.0,2.39,+,2.63,188.47
760,Unterstellt,280.0,4.61,10.0,0.75,+,2.63,58.9
761,Vorgang,392.0,6.46,14.0,1.04,+,2.63,82.45
762,Nächstenliebe,279.0,4.6,10.0,0.75,+,2.62,58.57
763,feiertagen,473.0,7.79,17.0,1.27,+,2.62,99.14
764,Rhythmus,278.0,4.58,10.0,0.75,+,2.62,58.24
765,Unterrichtsgegenstände,278.0,4.58,10.0,0.75,+,2.62,58.24
766,Resignation,389.0,6.41,14.0,1.04,+,2.62,81.47
767,Material,1527.0,25.16,55.0,4.11,+,2.62,319.66
768,Seife,555.0,9.14,20.0,1.49,+,2.61,116.15
769,reorganisation,718.0,11.83,26.0,1.94,+,2.61,149.85
770,ErzbischofS,607.0,10.0,22.0,1.64,+,2.61,126.62
771,berufung,938.0,15.45,34.0,2.54,+,2.61,195.65
772,kredite,331.0,5.45,12.0,0.9,+,2.61,69.03
773,Realien,551.0,9.08,20.0,1.49,+,2.6,114.84
774,Bauche,303.0,4.99,11.0,0.82,+,2.6,63.14
775,KB,797.0,13.13,29.0,2.16,+,2.6,165.88
776,vereins,2526.0,41.62,92.0,6.87,+,2.6,525.45
777,rationellen,247.0,4.07,9.0,0.67,+,2.6,51.37
778,jUr,1014.0,16.71,37.0,2.76,+,2.6,210.7
779,Großartig,219.0,3.61,8.0,0.6,+,2.6,45.48
780,verweser,520.0,8.57,19.0,1.42,+,2.59,107.97
781,berechtigung,656.0,10.81,24.0,1.79,+,2.59,136.1
782,Gefärbte,273.0,4.5,10.0,0.75,+,2.59,56.6
783,Hötel,273.0,4.5,10.0,0.75,+,2.59,56.6
784,Einsender,818.0,13.48,30.0,2.24,+,2.59,169.48
785,Sträflinge,1035.0,17.05,38.0,2.84,+,2.59,214.3
786,Pietät,299.0,4.93,11.0,0.82,+,2.58,61.84
787,Allg.,407.0,6.71,15.0,1.12,+,2.58,84.08
788,Rippen,217.0,3.58,8.0,0.6,+,2.58,44.82
789,Verständniß,1490.0,24.55,55.0,4.11,+,2.58,307.55
790,vorliegt,325.0,5.35,12.0,0.9,+,2.58,67.07
791,Verzierungen,379.0,6.24,14.0,1.04,+,2.58,78.2
792,methodischen,406.0,6.69,15.0,1.12,+,2.58,83.76
793,GW,216.0,3.56,8.0,0.6,+,2.58,44.5
794,Reparaturen,621.0,10.23,23.0,1.72,+,2.58,127.93
795,durchweg,781.0,12.87,29.0,2.16,+,2.57,160.65
796,zürcherischen,860.0,14.17,32.0,2.39,+,2.57,176.68
797,Volksleben,376.0,6.19,14.0,1.04,+,2.57,77.22
798,Bestellungen,831.0,13.69,31.0,2.31,+,2.56,170.47
799,Sonnabend,375.0,6.18,14.0,1.04,+,2.56,76.89
800,einet,803.0,13.23,30.0,2.24,+,2.56,164.58
801,Besprochenen,321.0,5.29,12.0,0.9,+,2.56,65.77
802,Np,481.0,7.92,18.0,1.34,+,2.56,98.49
803,Anklang,560.0,9.23,21.0,1.57,+,2.56,114.52
804,freisinnigen,373.0,6.15,14.0,1.04,+,2.56,76.24
805,Sigrist,373.0,6.15,14.0,1.04,+,2.56,76.24
806,auSbeutung,213.0,3.51,8.0,0.6,+,2.55,43.52
807,Muralt,266.0,4.38,10.0,0.75,+,2.55,54.32
808,Gebogen,451.0,7.43,17.0,1.27,+,2.55,91.95
809,aktiven,265.0,4.37,10.0,0.75,+,2.55,53.99
810,Stadtpfarrer,291.0,4.79,11.0,0.82,+,2.55,59.23
811,Subjekt,528.0,8.7,20.0,1.49,+,2.54,107.34
812,Ausstattung,765.0,12.6,29.0,2.16,+,2.54,155.45
813,büchleins,263.0,4.33,10.0,0.75,+,2.54,53.34
814,undurchsichtig,289.0,4.76,11.0,0.82,+,2.54,58.58
815,jubiläum,394.0,6.49,15.0,1.12,+,2.54,79.85
816,Psd,394.0,6.49,15.0,1.12,+,2.54,79.85
817,Lehrgang,472.0,7.78,18.0,1.34,+,2.53,95.57
818,Superior,236.0,3.89,9.0,0.67,+,2.53,47.78
819,Begriffes,367.0,6.05,14.0,1.04,+,2.53,74.29
820,verkümmert,262.0,4.32,10.0,0.75,+,2.53,53.02
821,übergetreten,288.0,4.74,11.0,0.82,+,2.53,58.26
822,Mittheilungen,2196.0,36.18,84.0,6.27,+,2.53,443.82
823,entschiedenheit,392.0,6.46,15.0,1.12,+,2.53,79.21
824,orum,235.0,3.87,9.0,0.67,+,2.53,47.46
825,Total,2689.0,44.3,103.0,7.69,+,2.53,543.01
826,Etablissements,313.0,5.16,12.0,0.9,+,2.53,63.17
827,Kavallerie,469.0,7.73,18.0,1.34,+,2.52,94.59
828,patres,286.0,4.71,11.0,0.82,+,2.52,57.61
829,Abschlus,832.0,13.71,32.0,2.39,+,2.52,167.59
830,Red.,519.0,8.55,20.0,1.49,+,2.52,104.42
831,Elfenbein,233.0,3.84,9.0,0.67,+,2.51,46.81
832,=,14858.0,244.78,574.0,42.84,+,2.51,2985.31
833,Gesammt-,414.0,6.82,16.0,1.19,+,2.51,83.15
834,musikalischen,388.0,6.39,15.0,1.12,+,2.51,77.91
835,mehrfach,569.0,9.37,22.0,1.64,+,2.51,114.25
836,Leibliche,413.0,6.8,16.0,1.19,+,2.51,82.83
837,voranschlag,335.0,5.52,13.0,0.97,+,2.51,67.12
838,müss,1210.0,19.93,47.0,3.51,+,2.51,242.28
839,Aushülfe,282.0,4.65,11.0,0.82,+,2.5,56.32
840,verabfolgt,435.0,7.17,17.0,1.27,+,2.5,86.77
841,Pflanzenwelt,230.0,3.79,9.0,0.67,+,2.5,45.84
842,Angesichts,485.0,7.99,19.0,1.42,+,2.49,96.6
843,Jahresberichte,306.0,5.04,12.0,0.9,+,2.49,60.91
844,chöre,408.0,6.72,16.0,1.19,+,2.49,81.22
845,Nächster,688.0,11.33,27.0,2.02,+,2.49,136.89
846,Semester,764.0,12.59,30.0,2.24,+,2.49,151.96
847,Rumpf,331.0,5.45,13.0,0.97,+,2.49,65.83
848,studenten,1476.0,24.32,58.0,4.33,+,2.49,293.44
849,evang,407.0,6.71,16.0,1.19,+,2.49,80.89
850,Sicherlich,508.0,8.37,20.0,1.49,+,2.49,100.88
